GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2014 or later,Margin of Error; Total: - Built 2014 or later,Estimate; Total: - Built 2010 to 2013,Margin of Error; Total: - Built 2010 to 2013,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
0400000US09,09,Connecticut,1491786,313,615,148,10812,712,103911,1972,115076,1841,193595,2748,199447,2740,200380,3028,230868,2651,105253,2170,331829,3573
0500000US09001,09001,"Fairfield County, Connecticut",363556,398,248,72,4032,458,25574,934,25149,816,41637,1123,48000,1229,52996,1241,60611,1420,27949,1113,77360,1320
0500000US09003,09003,"Hartford County, Connecticut",374453,462,142,87,1631,234,22865,855,25125,901,49310,1284,48957,1529,54371,1351,68048,1307,32494,1114,71510,1513
0500000US09005,09005,"Litchfield County, Connecticut",87447,228,0,28,357,119,6815,476,7978,519,12252,598,12695,570,9174,651,10852,541,5215,448,22109,809
0500000US09007,09007,"Middlesex County, Connecticut",75162,234,38,34,489,156,6846,493,7906,503,11738,657,11043,613,9122,590,9094,593,3716,355,15170,732
0500000US09009,09009,"New Haven County, Connecticut",362351,374,119,81,2209,279,20073,810,27273,1066,45415,1270,46826,1230,45377,1353,54689,1586,25150,1061,95220,1830
0500000US09011,09011,"New London County, Connecticut",121258,269,28,21,930,228,10650,601,11349,630,16273,617,16821,815,15440,806,14570,785,6034,579,29163,930
0500000US09013,09013,"Tolland County, Connecticut",58383,497,27,33,796,205,6367,566,6160,479,9158,629,8403,578,8796,565,8202,573,2387,335,8087,554
0500000US09015,09015,"Windham County, Connecticut",49176,246,13,20,368,125,4721,454,4136,354,7812,484,6702,551,5104,418,4802,406,2308,353,13210,580
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7540,243,0,19,82,45,435,108,499,126,958,172,1936,241,1120,184,913,199,341,125,1256,201
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",57889,911,0,28,329,119,1571,266,1873,304,4447,413,5073,407,6708,567,8371,536,7048,551,22469,715
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6507,284,0,19,98,68,650,128,419,100,1234,199,1313,221,1242,255,839,168,253,103,459,166
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",31716,728,35,34,450,165,3311,372,2211,284,4288,453,4614,466,4186,424,4308,441,1373,253,6940,453
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6940,144,24,25,141,70,712,138,295,79,349,102,609,123,690,129,1492,186,729,126,1899,206
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2757,120,0,17,0,17,213,77,268,90,252,91,497,113,419,108,441,113,292,82,375,93
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",21359,364,27,24,84,54,1075,195,1136,177,1196,188,2183,211,3236,269,5003,302,2638,269,4781,304
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",24242,535,21,21,330,103,1977,240,1584,237,1792,249,2792,297,3084,281,4012,357,1618,233,7032,418
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",7047,246,0,19,0,19,218,112,1037,198,1665,259,1138,195,1263,227,894,220,279,117,553,163
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",7310,211,9,14,58,72,747,167,535,144,800,168,1049,186,1317,185,1333,243,301,128,1161,221
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",5863,205,0,19,16,23,300,115,607,118,727,118,1066,149,1210,146,891,161,400,112,646,155
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",10167,362,4,6,52,42,1501,212,1554,192,1314,210,1404,199,1501,196,1221,205,412,115,1204,224
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",35800,682,17,18,517,133,2206,253,2007,288,3660,385,4089,385,5059,446,7079,459,3447,367,7719,468
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3963,183,0,17,18,19,527,122,353,115,608,122,523,105,614,165,388,116,128,55,804,165
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",9460,270,0,22,116,79,631,162,1070,198,1337,210,1687,216,2309,251,1029,171,336,127,945,189
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",16471,352,0,25,168,81,1568,271,1906,298,3374,366,2908,297,2316,262,1676,239,679,149,1876,237
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",1792,119,0,12,0,12,272,106,169,60,237,74,371,81,144,49,197,82,85,47,317,109
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",51165,917,65,44,1025,202,4750,458,3817,460,7777,603,6755,529,7788,560,8700,597,2891,316,7597,632
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",22264,455,11,19,87,63,444,120,936,256,1717,246,3574,362,2926,359,5244,423,2807,283,4518,384
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",12542,296,0,25,62,36,621,129,1289,209,1262,197,1826,238,2315,255,2882,300,811,162,1474,224
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3801,198,9,14,11,16,241,85,393,114,451,92,476,88,846,138,555,107,165,82,654,148
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",10611,338,26,19,329,111,938,162,570,131,1153,191,1033,195,1628,193,2328,328,631,126,1975,242
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",6350,198,0,19,59,38,666,157,621,125,1039,143,1084,159,1075,133,815,133,285,93,706,140
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",7342,240,0,19,79,41,856,167,878,168,1430,233,1682,226,1064,208,645,148,267,117,441,111
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",8333,258,0,22,108,57,1064,199,976,212,1007,173,1113,194,1058,184,1332,285,346,133,1329,233
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",8823,370,8,16,9,13,845,202,649,157,1228,193,1110,246,1807,271,1889,257,500,197,778,192
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",26953,561,14,22,68,63,1090,217,1424,252,4661,381,3551,440,4093,362,4375,402,1994,279,5683,555
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",3535,139,11,17,45,38,395,88,588,143,713,125,749,121,367,107,360,96,52,36,255,99
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",4321,189,0,19,14,22,634,142,365,134,560,150,663,165,424,112,469,129,361,137,831,181
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",2198,98,0,17,11,18,300,92,155,65,392,96,362,119,470,120,314,104,43,38,151,92
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",22116,601,0,28,55,51,399,128,417,133,2131,279,2576,323,5062,440,5936,458,2334,318,3206,351
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",4691,289,14,22,63,41,854,201,503,171,734,195,369,133,244,108,898,188,207,109,805,214
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",17446,474,0,25,97,62,431,113,808,149,2663,290,1705,220,3553,330,4717,334,783,151,2689,265
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",11052,226,0,22,79,43,1240,160,1509,225,2576,226,1926,236,1070,178,1317,165,399,119,936,170
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",13722,300,0,25,68,48,917,143,2131,207,2446,259,2507,231,1702,230,1817,269,581,163,1553,241
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",4597,175,0,19,0,19,473,156,847,194,941,176,708,155,400,121,684,136,256,104,288,96
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",52737,845,0,28,134,78,1986,244,2388,268,3574,342,4259,428,6641,554,8236,565,7239,474,18280,818
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",832,49,0,12,0,12,77,26,97,25,163,33,82,26,89,27,102,26,77,30,145,40
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",25456,588,0,28,108,75,1898,293,1752,285,3116,367,3237,352,3156,338,3823,302,3193,323,5173,388
0600000US0900345820,0900345820,"Marlborough town, Hartford County, Connecticut",2289,144,0,17,0,17,305,108,329,143,456,133,555,130,296,123,253,114,40,48,55,52
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",31670,703,33,45,125,65,506,148,803,181,3012,335,2820,371,3964,425,6209,489,4396,407,9802,569
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",12990,299,0,25,59,44,732,160,865,169,1555,207,2708,266,2266,226,2689,236,923,171,1193,171
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",8035,237,0,19,27,37,450,139,407,133,1141,219,1316,258,1156,206,1302,275,749,193,1487,247
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",8408,317,41,60,14,21,718,154,886,185,1912,296,2275,294,912,210,678,179,394,142,578,162
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",9248,220,0,22,14,22,386,103,612,113,1443,171,1909,243,2103,200,1576,164,369,127,836,145
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",18037,389,14,20,142,59,2176,300,1688,255,2551,265,3172,259,2938,288,2683,297,732,179,1941,251
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",10143,313,0,22,139,90,869,145,1293,223,2527,221,1399,207,1420,194,1484,178,283,125,729,147
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",4977,248,7,11,74,46,722,139,477,115,975,151,578,144,601,158,685,127,209,91,649,129
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",26262,436,0,28,31,29,1065,169,666,129,1195,185,2027,256,3654,312,7008,421,3603,270,7013,342
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",11274,306,0,22,13,21,234,92,686,118,1541,199,1183,210,1882,250,2717,239,945,155,2073,229
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",11671,286,0,22,26,39,831,173,706,145,1886,256,2061,270,1272,225,2326,262,845,202,1718,174
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",5295,350,0,19,29,37,412,105,220,88,781,178,355,129,707,161,1524,199,374,138,893,156
0600000US0900502760,0900502760,"Barkhamsted town, Litchfield County, Connecticut",1500,103,0,12,6,10,190,64,231,84,211,80,386,82,193,60,104,59,39,36,140,59
0600000US0900504930,0900504930,"Bethlehem town, Litchfield County, Connecticut",1493,104,0,12,10,17,197,74,291,85,258,89,183,59,110,50,176,73,110,53,158,56
0600000US0900508210,0900508210,"Bridgewater town, Litchfield County, Connecticut",886,35,0,12,0,12,65,20,66,27,111,32,117,40,114,29,89,27,56,23,268,50
0600000US0900510940,0900510940,"Canaan town, Litchfield County, Connecticut",746,70,0,12,0,12,63,20,69,35,109,31,80,29,46,15,86,31,50,26,243,53
0600000US0900516050,0900516050,"Colebrook town, Litchfield County, Connecticut",801,37,0,12,0,12,96,35,58,22,120,38,80,25,89,30,74,30,53,29,231,51
0600000US0900517240,0900517240,"Cornwall town, Litchfield County, Connecticut",1020,33,0,12,3,4,36,21,81,32,130,42,104,34,86,38,91,28,62,27,427,63
0600000US0900532290,0900532290,"Goshen town, Litchfield County, Connecticut",1633,142,0,12,0,12,401,118,165,74,414,129,329,88,35,24,78,40,24,23,187,73
0600000US0900537280,0900537280,"Harwinton town, Litchfield County, Connecticut",2259,125,0,17,0,17,281,82,252,78,262,62,373,79,279,85,376,99,203,81,233,69
0600000US0900540290,0900540290,"Kent town, Litchfield County, Connecticut",1508,165,0,12,56,71,89,38,129,66,251,88,239,75,123,69,156,74,70,43,395,114
0600000US0900543370,0900543370,"Litchfield town, Litchfield County, Connecticut",4151,271,0,17,21,24,326,110,272,70,618,114,577,128,253,68,625,144,236,73,1223,160
0600000US0900549460,0900549460,"Morris town, Litchfield County, Connecticut",1292,59,0,12,14,21,160,50,118,44,110,43,134,48,83,38,155,45,85,39,433,80
0600000US0900551350,0900551350,"New Hartford town, Litchfield County, Connecticut",2906,228,0,17,32,37,314,101,281,145,387,122,552,180,449,174,218,113,99,84,574,184
0600000US0900552630,0900552630,"New Milford town, Litchfield County, Connecticut",11592,314,0,22,72,55,1254,224,1341,236,2017,301,2159,269,1666,281,1093,212,262,106,1728,275
0600000US0900553470,0900553470,"Norfolk town, Litchfield County, Connecticut",940,63,0,12,0,12,24,15,20,18,145,34,126,40,50,24,111,37,19,12,445,56
0600000US0900554030,0900554030,"North Canaan town, Litchfield County, Connecticut",1558,117,0,12,0,12,50,46,99,62,135,80,151,71,118,70,266,93,123,69,616,122
0600000US0900560750,0900560750,"Plymouth town, Litchfield County, Connecticut",5127,172,0,19,18,19,562,123,401,106,777,139,565,121,571,124,778,145,441,101,1014,156
0600000US0900565930,0900565930,"Roxbury town, Litchfield County, Connecticut",1209,35,0,12,16,14,136,52,165,49,206,52,239,66,70,39,47,23,48,27,282,53
0600000US0900566420,0900566420,"Salisbury town, Litchfield County, Connecticut",2439,185,0,12,0,12,133,57,242,113,211,89,322,96,224,99,121,74,86,63,1100,187
0600000US0900567960,0900567960,"Sharon town, Litchfield County, Connecticut",1943,143,0,12,9,15,93,55,91,44,206,90,166,61,238,115,161,87,106,64,873,176
0600000US0900575730,0900575730,"Thomaston town, Litchfield County, Connecticut",3104,170,0,17,22,20,218,103,365,89,521,115,249,76,343,86,481,115,127,51,778,123
0600000US0900576570,0900576570,"Torrington town, Litchfield County, Connecticut",17195,423,0,25,29,29,651,125,1419,193,2055,197,2541,284,1630,253,2452,252,1429,267,4989,361
0600000US0900579510,0900579510,"Warren town, Litchfield County, Connecticut",826,33,0,12,5,6,134,31,87,28,114,27,76,22,68,27,61,21,88,32,193,40
0600000US0900579720,0900579720,"Washington town, Litchfield County, Connecticut",2200,158,0,12,0,12,112,50,152,72,271,98,258,87,153,57,311,105,104,64,839,134
0600000US0900580490,0900580490,"Watertown town, Litchfield County, Connecticut",8835,326,0,22,33,36,556,150,971,190,1020,229,1258,229,1148,231,1537,243,732,205,1580,277
